nohup: ignoring input
Creating Random Inputs
Starting simulations for sample size: 1000
Simulating:  15%|█▍        | 149/1000 [2:31:14<14:31:44, 61.46s/it]Run 150/1000: keff=1.01917 ± 0.00074 | CR=183/248 | Run Time=62.133753299713135
Simulating:  15%|█▌        | 150/1000 [2:32:17<14:33:34, 61.66s/it]Run 151/1000: keff=1.02665 ± 0.00073 | CR=215/248 | Run Time=61.723543643951416
Simulating:  15%|█▌        | 151/1000 [2:33:18<14:32:47, 61.68s/it]Run 152/1000: keff=1.13938 ± 0.00084 | CR=143/248 | Run Time=60.59567141532898
Simulating:  15%|█▌        | 152/1000 [2:34:19<14:27:10, 61.36s/it]Run 153/1000: keff=1.01156 ± 0.00074 | CR=177/248 | Run Time=61.31919288635254
Simulating:  15%|█▌        | 153/1000 [2:35:20<14:25:59, 61.35s/it]Run 154/1000: keff=1.12199 ± 0.00072 | CR=221/248 | Run Time=61.130550384521484
Simulating:  15%|█▌        | 154/1000 [2:36:21<14:24:03, 61.28s/it]Run 155/1000: keff=0.98352 ± 0.00082 | CR=76/248 | Run Time=59.61181020736694
Simulating:  16%|█▌        | 155/1000 [2:37:21<14:15:59, 60.78s/it]Run 156/1000: keff=1.09699 ± 0.00071 | CR=176/248 | Run Time=60.25268244743347
Simulating:  16%|█▌        | 156/1000 [2:38:21<14:12:45, 60.62s/it]Run 157/1000: keff=0.93336 ± 0.00075 | CR=6/248 | Run Time=61.706565856933594
Simulating:  16%|█▌        | 157/1000 [2:39:23<14:16:18, 60.95s/it]Run 158/1000: keff=1.03480 ± 0.00073 | CR=147/248 | Run Time=63.279526472091675
Simulating:  16%|█▌        | 158/1000 [2:40:26<14:25:07, 61.65s/it]Run 159/1000: keff=0.99330 ± 0.00071 | CR=162/248 | Run Time=62.269922494888306
Simulating:  16%|█▌        | 159/1000 [2:41:28<14:26:42, 61.83s/it]Run 160/1000: keff=1.05779 ± 0.00067 | CR=211/248 | Run Time=59.59766674041748
Simulating:  16%|█▌        | 160/1000 [2:42:28<14:16:17, 61.16s/it]Run 161/1000: keff=0.93164 ± 0.00078 | CR=53/248 | Run Time=58.237730741500854
